0.000,0.000
0.100,-0.198
0.200,-0.102
0.300,0.569
0.400,0.670
0.500,-0.382
0.600,0.505
0.700,-0.021
0.800,-0.971
0.900,-0.874
1.000,0.269
1.100,-0.987
1.200,-0.581
1.300,-1.703
1.400,-1.795
1.500,-1.704
1.600,-2.045
1.700,-2.678
1.800,-2.938
1.900,-3.194
2.000,-3.288
2.100,-4.447
2.200,-4.190
2.300,-4.506
2.400,-4.743
2.500,-5.927
2.600,-6.237
2.700,-5.119
2.800,-6.706
2.900,-6.669
3.000,-6.601
3.100,-8.962
3.200,-8.362
3.300,-9.701
3.400,-9.967
3.500,-11.737
3.600,-11.073
3.700,-12.090
3.800,-13.217
3.900,-13.233
4.000,-14.212
4.100,-14.648
4.200,-16.531
4.300,-16.351
4.400,-17.381
4.500,-18.625
4.600,-19.304
4.700,-19.482
4.800,-22.004
4.900,-21.826
5.000,-22.716
