0.000,0.000
0.100,-0.123
0.200,-1.259
0.300,-0.836
0.400,-0.758
0.500,-1.055
0.600,0.942
0.700,0.195
0.800,-0.454
0.900,-1.861
1.000,-0.368
1.100,-0.213
1.200,-1.171
1.300,-2.456
1.400,-2.252
1.500,-2.231
1.600,-2.417
1.700,-2.613
1.800,-3.282
1.900,-4.059
2.000,-3.222
2.100,-4.715
2.200,-4.775
2.300,-4.700
2.400,-5.861
2.500,-6.070
2.600,-6.438
2.700,-7.549
2.800,-6.736
2.900,-6.554
3.000,-8.423
3.100,-8.230
3.200,-9.272
3.300,-9.950
3.400,-9.736
3.500,-11.361
3.600,-11.789
3.700,-12.091
3.800,-13.585
3.900,-13.070
4.000,-14.287
4.100,-15.129
4.200,-15.950
4.300,-15.954
4.400,-17.482
4.500,-17.191
4.600,-19.638
4.700,-20.338
4.800,-20.727
4.900,-21.138
5.000,-21.925
