0.000,0.000
0.100,-0.125
0.200,0.005
0.300,-0.616
0.400,-0.450
0.500,-0.515
0.600,-0.843
0.700,-0.678
0.800,-1.444
0.900,-0.997
1.000,-1.831
1.100,-1.474
1.200,-0.313
1.300,-1.114
1.400,-2.591
1.500,-1.754
1.600,-2.080
1.700,-2.632
1.800,-2.726
1.900,-3.482
2.000,-2.968
2.100,-3.695
2.200,-4.457
2.300,-4.509
2.400,-5.492
2.500,-5.624
2.600,-6.418
2.700,-6.045
2.800,-6.796
2.900,-8.269
3.000,-8.140
3.100,-8.802
3.200,-7.933
3.300,-10.349
3.400,-9.781
3.500,-11.432
3.600,-11.207
3.700,-12.627
3.800,-12.358
3.900,-14.028
4.000,-14.989
4.100,-14.691
4.200,-16.079
4.300,-17.001
4.400,-17.542
4.500,-18.452
4.600,-19.331
4.700,-19.707
4.800,-21.403
4.900,-21.684
5.000,-22.711
